number,value,datetime_start,datetime_complete,duration,params_d_model,params_lr,params_nhead,params_num_layers,params_weight_decay,state
34,0.02041412829695379,2025-07-31 11:36:24.971719,2025-07-31 11:36:27.521547,0 days 00:00:02.549828,256,0.00035759374753223616,1,3,5.821301928339748e-08,COMPLETE
35,0.024653655641219196,2025-07-31 11:36:27.521547,2025-07-31 11:36:30.371339,0 days 00:00:02.849792,128,0.0002065241927162261,2,4,1.6739732782389663e-08,COMPLETE
36,0.029000340330907527,2025-07-31 11:36:30.371339,2025-07-31 11:36:32.242847,0 days 00:00:01.871508,256,9.835249701623346e-05,1,2,2.5674028828869344e-07,COMPLETE
37,0.007617093204958912,2025-07-31 11:36:32.242847,2025-07-31 11:36:34.919932,0 days 00:00:02.677085,256,0.00012760730317409096,2,3,3.068203178049398e-08,COMPLETE
38,0.009212603991139023,2025-07-31 11:36:34.919932,2025-07-31 11:36:38.483695,0 days 00:00:03.563763,256,6.883794446444043e-05,4,4,6.436601572099686e-08,COMPLETE
39,0.10971072138122775,2025-07-31 11:36:38.483695,2025-07-31 11:36:41.456725,0 days 00:00:02.973030,128,2.4518010353357716e-05,2,3,1.663677290593423e-08,COMPLETE
40,0.018561118090634838,2025-07-31 11:36:41.456725,2025-07-31 11:36:43.750811,0 days 00:00:02.294086,256,5.238732321683957e-05,1,2,2.1974171141760558e-06,COMPLETE
41,0.013464479638701853,2025-07-31 11:36:43.750811,2025-07-31 11:36:46.806340,0 days 00:00:03.055529,256,7.687574636048608e-05,2,3,1.1097423737607789e-08,COMPLETE
42,0.008682643725906554,2025-07-31 11:36:46.806340,2025-07-31 11:36:49.517847,0 days 00:00:02.711507,256,6.033222888102033e-05,2,3,1.1098950225546373e-08,COMPLETE
43,0.03246565615100896,2025-07-31 11:36:49.517847,2025-07-31 11:36:52.189627,0 days 00:00:02.671780,256,0.00015824470380916667,2,3,3.659150048562892e-08,COMPLETE
44,0.00815713099505314,2025-07-31 11:36:52.189627,2025-07-31 11:36:54.826811,0 days 00:00:02.637184,256,0.00022514853034083109,2,3,4.040671210416587e-07,COMPLETE
45,0.2537885658333407,2025-07-31 11:36:54.826811,2025-07-31 11:36:57.088522,0 days 00:00:02.261711,64,1.4762692371541875e-05,2,3,2.1933572712784137e-08,COMPLETE
46,0.03118480895371998,2025-07-31 11:36:57.089089,2025-07-31 11:36:59.656601,0 days 00:00:02.567512,256,0.0001016372860926529,4,3,1.1052268128853793e-08,COMPLETE
47,0.005716885166133151,2025-07-31 11:36:59.657610,2025-07-31 11:37:01.550852,0 days 00:00:01.893242,256,0.00032626904828522463,2,2,1.0103510318453866e-05,COMPLETE
48,0.005979984385810573,2025-07-31 11:37:01.550852,2025-07-31 11:37:02.883098,0 days 00:00:01.332246,256,0.0003290151726105402,1,1,1.697298814766548e-05,COMPLETE
49,0.002968437202713069,2025-07-31 11:37:02.884104,2025-07-31 11:37:04.084053,0 days 00:00:01.199949,256,0.0005155592360037846,1,1,1.816344729485572e-05,COMPLETE
