number,value,datetime_start,datetime_complete,duration,params_d_model,params_lr,params_nhead,params_num_layers,params_weight_decay,state
0,0.26218373843413945,2025-07-31 15:07:28.238969,2025-07-31 15:07:32.078397,0 days 00:00:03.839428,64,1.0869465244078421e-05,4,2,4.316538908443051e-08,COMPLETE
1,0.014680048656266402,2025-07-31 15:07:32.078397,2025-07-31 15:07:34.345454,0 days 00:00:02.267057,64,0.0009714479757013238,1,3,6.379989555090145e-06,COMPLETE
2,0.0584549996727968,2025-07-31 15:07:34.345454,2025-07-31 15:07:35.707076,0 days 00:00:01.361622,128,5.3751255003384234e-05,4,1,6.385777674303344e-07,COMPLETE
3,0.029202864998403716,2025-07-31 15:07:35.708102,2025-07-31 15:07:38.439502,0 days 00:00:02.731400,128,0.0001587250797492607,4,4,2.7976295607535914e-06,COMPLETE
4,0.22097651257782297,2025-07-31 15:07:38.439502,2025-07-31 15:07:41.088935,0 days 00:00:02.649433,64,3.010990191389401e-05,4,4,7.4541526424319644e-06,COMPLETE
5,0.01054275589173331,2025-07-31 15:07:41.088935,2025-07-31 15:07:42.410331,0 days 00:00:01.321396,256,0.0005203261626841281,4,1,3.246952440723867e-06,COMPLETE
6,0.0836976518142311,2025-07-31 15:07:42.410331,2025-07-31 15:07:45.071001,0 days 00:00:02.660670,256,1.1659107636979436e-05,2,3,6.255791801081158e-05,COMPLETE
7,0.03464476183495101,2025-07-31 15:07:45.071001,2025-07-31 15:07:47.611922,0 days 00:00:02.540921,256,0.0005120837251197617,2,3,8.055631718552791e-07,COMPLETE
8,0.18068045536603997,2025-07-31 15:07:47.611922,2025-07-31 15:07:49.761503,0 days 00:00:02.149581,128,1.3481443813375817e-05,1,3,2.9614993898497474e-06,COMPLETE
9,0.1656232480343212,2025-07-31 15:07:49.762512,2025-07-31 15:07:52.304335,0 days 00:00:02.541823,64,3.3006916525737624e-05,1,4,4.6047553842033054e-07,COMPLETE
10,0.006295457449810141,2025-07-31 15:07:52.304335,2025-07-31 15:07:53.611934,0 days 00:00:01.307599,256,0.00022106745949960831,4,1,4.775139558742637e-08,COMPLETE
11,0.0042151799151564345,2025-07-31 15:07:53.611934,2025-07-31 15:07:54.912967,0 days 00:00:01.301033,256,0.0003024015877584594,4,1,1.4022129210573272e-08,COMPLETE
12,0.00956802539226106,2025-07-31 15:07:54.912967,2025-07-31 15:07:56.223496,0 days 00:00:01.310529,256,0.000167588811158109,4,1,1.5989637139045577e-08,COMPLETE
13,0.010589662829742712,2025-07-31 15:07:56.224495,2025-07-31 15:07:58.140148,0 days 00:00:01.915653,256,0.00025878351249220563,4,2,9.624420944467131e-08,COMPLETE
14,0.006747257142492077,2025-07-31 15:07:58.141147,2025-07-31 15:08:00.013697,0 days 00:00:01.872550,256,8.952794800480439e-05,4,2,1.2226220238943154e-08,COMPLETE
15,0.003965313097818152,2025-07-31 15:08:00.014699,2025-07-31 15:08:01.377900,0 days 00:00:01.363201,256,0.0003222898803337917,2,1,1.306844524367363e-07,COMPLETE
16,0.012887876987566842,2025-07-31 15:08:01.378905,2025-07-31 15:08:03.330944,0 days 00:00:01.952039,256,0.000401828986135866,2,2,1.9355475407825742e-07,COMPLETE
17,0.04789047989556018,2025-07-31 15:08:03.330944,2025-07-31 15:08:04.654112,0 days 00:00:01.323168,256,0.0008417106319889721,2,1,1.5107868610693928e-07,COMPLETE
18,0.007785251792109407,2025-07-31 15:08:04.654112,2025-07-31 15:08:06.034568,0 days 00:00:01.380456,256,9.159074206323834e-05,2,1,2.6507678889358265e-08,COMPLETE
19,0.020165796309490416,2025-07-31 15:08:06.035561,2025-07-31 15:08:07.844401,0 days 00:00:01.808840,128,0.00034718349497142966,2,2,2.58907906845047e-07,COMPLETE
20,0.008007206919822185,2025-07-31 15:08:07.844401,2025-07-31 15:08:09.140879,0 days 00:00:01.296478,256,0.00013979746114991975,2,1,6.418031169424501e-08,COMPLETE
21,0.006213131326469867,2025-07-31 15:08:09.140879,2025-07-31 15:08:10.447806,0 days 00:00:01.306927,256,0.00021909743112377922,4,1,4.446093382260225e-08,COMPLETE
22,0.01939784683396711,2025-07-31 15:08:10.447806,2025-07-31 15:08:11.768565,0 days 00:00:01.320759,256,0.000307171117826148,4,1,1.0163892357035979e-08,COMPLETE
23,0.02156946632791968,2025-07-31 15:08:11.769554,2025-07-31 15:08:13.607614,0 days 00:00:01.838060,256,0.000567081635234461,1,2,2.6871509451597045e-08,COMPLETE
24,0.008124983965364449,2025-07-31 15:08:13.608611,2025-07-31 15:08:15.007418,0 days 00:00:01.398807,256,0.00020979605788263474,4,1,1.298326964469841e-07,COMPLETE
25,0.009098447229274931,2025-07-31 15:08:15.008418,2025-07-31 15:08:16.395546,0 days 00:00:01.387128,256,0.00012145721423871963,2,1,2.5982148690165038e-08,COMPLETE
26,0.01813193377764786,2025-07-31 15:08:16.395546,2025-07-31 15:08:18.342418,0 days 00:00:01.946872,256,7.199465990156555e-05,4,2,7.51857311615153e-08,COMPLETE
27,0.03921777752282865,2025-07-31 15:08:18.342418,2025-07-31 15:08:19.600576,0 days 00:00:01.258158,256,0.0006103943615127122,1,1,3.1125294415373354e-07,COMPLETE
28,0.007898366582059465,2025-07-31 15:08:19.600576,2025-07-31 15:08:21.419421,0 days 00:00:01.818845,128,0.00037344645187131314,4,2,2.1479875038853217e-08,COMPLETE
29,0.02678933779380339,2025-07-31 15:08:21.420421,2025-07-31 15:08:22.739896,0 days 00:00:01.319475,64,0.00020929884504541804,2,1,3.589973918345502e-08,COMPLETE
30,0.011908757897532162,2025-07-31 15:08:22.739896,2025-07-31 15:08:24.540972,0 days 00:00:01.801076,64,0.0007426708718064625,4,2,4.883313865918971e-08,COMPLETE
31,0.017189841751721415,2025-07-31 15:08:24.540972,2025-07-31 15:08:25.921250,0 days 00:00:01.380278,256,0.00023286856397244094,4,1,4.988223111606371e-08,COMPLETE
32,0.009638227905858965,2025-07-31 15:08:25.921250,2025-07-31 15:08:27.304707,0 days 00:00:01.383457,256,0.00027130788147676423,4,1,9.356453385185111e-08,COMPLETE
33,0.009410373756990713,2025-07-31 15:08:27.304707,2025-07-31 15:08:28.709454,0 days 00:00:01.404747,256,0.0004261555459923398,4,1,3.931914681172871e-08,COMPLETE
34,0.01133432351600598,2025-07-31 15:08:28.709454,2025-07-31 15:08:30.182378,0 days 00:00:01.472924,256,0.00018374263881182197,4,1,1.722350767005462e-08,COMPLETE
35,0.018562004030065832,2025-07-31 15:08:30.182378,2025-07-31 15:08:31.612688,0 days 00:00:01.430310,128,0.0001204694529301449,4,1,4.0160680999232453e-07,COMPLETE
36,0.14791324909995585,2025-07-31 15:08:31.612688,2025-07-31 15:08:32.995422,0 days 00:00:01.382734,64,5.6766253844075674e-05,4,1,1.4082454543714888e-06,COMPLETE
37,0.006604943195056608,2025-07-31 15:08:32.996422,2025-07-31 15:08:35.041431,0 days 00:00:02.045009,256,0.0002722097538205259,4,2,2.9083783315548404e-05,COMPLETE
38,0.01882587970398805,2025-07-31 15:08:35.041431,2025-07-31 15:08:36.327303,0 days 00:00:01.285872,256,0.0001443897670418484,1,1,1.0210752528488544e-08,COMPLETE
39,0.034739652936182475,2025-07-31 15:08:36.328303,2025-07-31 15:08:37.693797,0 days 00:00:01.365494,256,0.0004404503967169772,4,1,1.089718543218251e-07,COMPLETE
40,0.015595035874010885,2025-07-31 15:08:37.693797,2025-07-31 15:08:40.569897,0 days 00:00:02.876100,128,0.000714486926662152,2,4,1.179369631081046e-06,COMPLETE
41,0.011077217264648746,2025-07-31 15:08:40.569897,2025-07-31 15:08:42.531052,0 days 00:00:01.961155,256,0.00028976584860486334,4,2,4.8039951267662743e-05,COMPLETE
42,0.02533182282315786,2025-07-31 15:08:42.531052,2025-07-31 15:08:45.263243,0 days 00:00:02.732191,256,0.00019942093165320525,4,3,1.866044018992078e-05,COMPLETE
43,0.005237081156605307,2025-07-31 15:08:45.263243,2025-07-31 15:08:47.260249,0 days 00:00:01.997006,256,0.00032864952189117706,4,2,4.748888344519088e-06,COMPLETE
