0,1,2,3,4
-0.3929867,-0.3802,-0.017585825,0.007021926,-0.36602664
-0.86231697,-0.90091,0.18623458,0.42404008,-0.9650157
-0.59349203,-0.57438,-0.04255713,-0.038892187,-0.5509592
-1.0180638,-0.94574,-0.25463855,-0.44115,-0.8427351
-0.37571228,-0.37984,0.0527183,0.1449143,-0.39127484
-0.7361584,-0.74562,0.07359261,0.19028163,-0.7654864
-0.47337168,-0.45593998,-0.036613684,-0.028464973,-0.43488604
-0.39850533,-0.40763,0.07295314,0.18614605,-0.4267282
-0.4397079,-0.43188,0.0030336946,0.047988795,-0.42529795
-1.372364,-1.34349,-0.06934081,-0.098352455,-1.3058008
-1.1582943,-1.05267,-0.39019525,-0.6925366,-0.89982784
-0.85392624,-0.8211,-0.09507449,-0.13999547,-0.77728516
-1.55978,-1.48185,-0.26318955,-0.4711938,-1.3704784
-0.6064569,-0.54621,-0.21322611,-0.36154485,-0.46093777
-0.63137805,-0.56259,-0.24846362,-0.42719054,-0.4645243
-0.67888635,-0.65234,-0.07207454,-0.09535799,-0.6178102
-1.0334543,-0.97475,-0.19777735,-0.33580226,-0.89218456
-0.43630776,-0.40349,-0.10119033,-0.15224041,-0.3591815
-0.57111806,-0.51135004,-0.21192154,-0.35930184,-0.42673972
-1.9602213,-1.96838,0.08347782,0.19776946,-1.986626
-1.5378058,-1.41574,-0.4472595,-0.8081034,-1.2381817
-1.4111651,-1.33018,-0.28006187,-0.49773857,-1.2142394
-0.42177722,-0.39364,-0.08170262,-0.11545173,-0.35635638
-1.0027887,-0.93532,-0.23480576,-0.40417293,-0.83959574
-0.6503924,-0.5822,-0.24558999,-0.4217468,-0.4850537
-1.6952304,-1.63872,-0.17250659,-0.30461535,-1.5595303
-2.7556388,-2.66485,-0.27902746,-0.5463902,-2.5345826
-0.5331513,-0.46778,-0.23614252,-0.4049552,-0.3746973
-0.7228392,-0.70178,-0.04902912,-0.05116246,-0.6755656
-0.635165,-0.62698,0.0023896366,0.048582412,-0.6200967
-1.7778476,-1.64407,-0.4874401,-0.8917508,-1.4488393
-0.37830007,-0.37016,0.0018584252,0.044516094,-0.36301118
-0.48347905,-0.42166,-0.222253,-0.37947914,-0.3338409
-0.42174336,-0.39123002,-0.09166162,-0.13436668,-0.3503804
-1.9990689,-1.8383499,-0.59082395,-1.0912579,-1.6025623
-0.66387314,-0.58869,-0.2745209,-0.4755758,-0.48108223
-0.44823694,-0.39227998,-0.19831505,-0.3349615,-0.31322914
-0.40677458,-0.44197002,0.17733411,0.40574324,-0.50107145
-0.3781445,-0.40781,0.15633483,0.35986418,-0.45835477
-0.6394815,-0.56813,-0.259006,-0.44680277,-0.46623588
-0.6723721,-0.62297,-0.16670649,-0.2743971,-0.5540761
-2.3052673,-2.3506799,0.2224914,0.49236667,-2.4254837
-0.4116792,-0.38278,-0.08501139,-0.12188393,-0.34432974
-1.5880597,-1.65612,0.29691756,0.6632261,-1.7653627
-2.1882904,-2.06904,-0.41151944,-0.7731061,-1.8956305
-0.48288158,-0.42618,-0.20078486,-0.33920532,-0.34604296
-0.5590848,-0.52018005,-0.12490583,-0.19601305,-0.4669168
-0.8377211,-0.75753,-0.2917377,-0.5075431,-0.6426086
-0.5062001,-0.53496003,0.14993657,0.34701386,-0.5841008
-0.525587,-0.53874,0.08802887,0.21859917,-0.5640714
-0.83961344,-0.76096,-0.2852471,-0.4955608,-0.6483583
-0.4631097,-0.47827,0.09656479,0.23533195,-0.506623
-0.6255969,-0.58269,-0.14054066,-0.22525817,-0.52347666
-0.83707285,-0.86481,0.14503065,0.33691877,-0.9124184
-0.4170043,-0.42406002,0.06426679,0.1689682,-0.44002414
-0.7715417,-0.74298,-0.07896602,-0.10874513,-0.70552194
-0.470936,-0.46056,-0.007458615,0.027985312,-0.45015648
-0.89456743,-0.95685,0.27369937,0.61639404,-1.0573064
-0.61676013,-0.58553,-0.09221727,-0.13385142,-0.54388386
-0.5796786,-0.52641004,-0.18456258,-0.30805314,-0.45157275
-0.4182804,-0.38520002,-0.10248872,-0.15493047,-0.34048557
-0.44717544,-0.43453,-0.016890172,0.009311861,-0.42066932
-1.0284475,-1.02223,0.014635888,0.07112586,-1.0185491
-0.4684698,-0.41691002,-0.17944798,-0.29931855,-0.34447962
-0.97682077,-0.9293,-0.15294823,-0.25091514,-0.8634892
-0.6309544,-0.67394,0.20334993,0.46204513,-0.7448592
-0.4495738,-0.4391,-0.0078984825,0.026820876,-0.42852518
-0.3939706,-0.42266998,0.15198238,0.35060936,-0.47172055
-0.81153697,-0.77844,-0.09691795,-0.14319715,-0.73417604
-0.51361763,-0.50344,-0.0064924536,0.030382954,-0.49339336
-0.80934036,-0.73745,-0.2576762,-0.44436014,-0.63495266
-0.409303,-0.43857,0.15380724,0.35465276,-0.48849428
-2.4878378,-2.49718,0.09523774,0.21523961,-2.5175319
-0.5407322,-0.49592,-0.14987046,-0.2431597,-0.43374333
-0.56806624,-0.54676,-0.051825356,-0.056867465,-0.52000624
-3.5171678,-3.4064498,-0.33415183,-0.683724,-3.2470381
-0.6736429,-0.73126,0.2577682,0.58311206,-0.82487905
-0.5525127,-0.49559,-0.2003683,-0.33780876,-0.4152232
-1.1849381,-1.13,-0.1787685,-0.303133,-1.0531187
-0.83126974,-0.79424,-0.11270705,-0.17332794,-0.7440778
-0.6268441,-0.60219,-0.06497841,-0.08184216,-0.5704474
-1.3409762,-1.21518,-0.46965003,-0.8414865,-1.0320957
-0.88639957,-0.84823,-0.11638588,-0.18078277,-0.7963929
-0.5515962,-0.53947,-0.014267164,0.015598631,-0.5265322
-1.2015916,-1.19013,-0.0034836263,0.033295013,-1.1785927
-1.3704503,-1.36255,0.013184679,0.0638526,-1.3564073
-0.6894871,-0.63681,-0.1800082,-0.29933003,-0.5630249
-0.76620173,-0.81716,0.23248799,0.52528524,-0.9002586
-1.1308514,-1.15846,0.14642689,0.3382287,-1.2059098
-0.3670795,-0.39632002,0.15503545,0.35696548,-0.44621673
-0.4439106,-0.48664,0.20569105,0.46856046,-0.5575037
-0.52686316,-0.50792,-0.04249293,-0.039224066,-0.48465344
-0.71380156,-0.65715003,-0.19610631,-0.32946482,-0.57741827
-3.092583,-2.87178,-0.7765295,-1.5199816,-2.5465162
-1.3793926,-1.29045,-0.3139697,-0.559282,-1.162581
-0.6775321,-0.61556,-0.2190499,-0.37223235,-0.52778345
-0.4226836,-0.45016,0.14637567,0.33886537,-0.49733275
-2.2023442,-2.1252801,-0.24094598,-0.4521602,-2.0152965
-0.7058398,-0.65381,-0.17703184,-0.29378688,-0.5809987
-0.5876586,-0.54238003,-0.1510361,-0.24511337,-0.47956428
-0.5021783,-0.45323998,-0.16783793,-0.2772063,-0.38479066
-0.44031182,-0.39593,-0.14973941,-0.24379613,-0.33425263
-0.6256448,-0.57157,-0.18708088,-0.31260058,-0.49558178
-0.7843139,-0.82624,0.19870989,0.45124638,-0.89545536
-1.564674,-1.56215,0.0371137,0.108812876,-1.5641699
-0.6201223,-0.67117,0.23383392,0.5296756,-0.75457084
-0.88759595,-0.89827,0.0794201,0.20171788,-0.9200451
-0.5463896,-0.5123,-0.1050398,-0.15850782,-0.46626148
-0.50913817,-0.45295998,-0.19808692,-0.33388624,-0.3736424
-0.49204543,-0.4705,-0.05355558,-0.060826093,-0.44325763
-2.1442883,-2.1224499,-0.026657637,-0.0305698,-2.0955713
-0.4621719,-0.45387,0.0010651917,0.04448857,-0.44658664
-0.5794199,-0.50954,-0.25407192,-0.4380482,-0.40976265
-0.41885763,-0.38825,-0.09212019,-0.135276,-0.3472361
-0.49071664,-0.49162,0.03876545,0.11913816,-0.4983233
-0.7622723,-0.69557,-0.23703547,-0.4058396,-0.6008048
-0.5447025,-0.48073,-0.23005937,-0.39344656,-0.38976103
-0.47274834,-0.42937,-0.1450165,-0.23457237,-0.3692271
-0.84415835,-0.7759,-0.2417523,-0.41508877,-0.67887884
-0.9913327,-0.96902,-0.050115604,-0.05507306,-0.9410912
-1.7160604,-1.70383,0.0023219779,0.036226265,-1.6912652
-0.40027845,-0.37586,-0.06626808,-0.08638389,-0.3441505
-0.6404208,-0.62563,-0.024406943,-0.0036189787,-0.60878634
-0.41517502,-0.41726997,0.043967504,0.12828472,-0.42568347
-2.3872454,-2.20773,-0.64976096,-1.2250179,-1.9437076
-0.78612906,-0.76433,-0.051186983,-0.0555085,-0.7370542
-0.6048982,-0.61353,0.06988136,0.18243727,-0.63207185
-0.57814175,-0.61834,0.19325806,0.44022655,-0.685003
-2.1340494,-1.9590399,-0.64400065,-1.1964376,-1.7017374
-1.0561862,-1.02093,-0.101249985,-0.154122,-0.973573
-0.3826959,-0.36842003,-0.02381884,-0.0052422215,-0.3519783
-1.9692241,-1.93661,-0.071671255,-0.1163676,-1.8934301
-0.63426083,-0.57117003,-0.22459684,-0.38266307,-0.48165095
-0.6157285,-0.64727,0.15972151,0.36809057,-0.7006557
-0.6096804,-0.66144,0.23663653,0.53611046,-0.7459764
-1.1297505,-1.03317,-0.35307348,-0.62418824,-0.8938459
-2.8443081,-2.81181,-0.053690083,-0.10049395,-2.76934
-0.5096116,-0.44732,-0.22369555,-0.38188222,-0.35883534
-0.416903,-0.4299,0.088419594,0.21795222,-0.4549089
-0.68827385,-0.67807,-0.005333881,0.033597685,-0.6681867
-0.9324347,-0.89004,-0.13283116,-0.21240585,-0.8318834
-0.469306,-0.45507,-0.023399148,-0.0029887788,-0.43883607
-0.44289684,-0.39933002,-0.14627132,-0.23724283,-0.33887738
-0.5256858,-0.48271,-0.14246202,-0.22931916,-0.42325735
-2.9396434,-2.8391402,-0.311536,-0.6168154,-2.6944141
-0.775935,-0.76521,-0.006539735,0.031157203,-0.75460047
-0.41990432,-0.38245,-0.12090899,-0.18972188,-0.33114272
-0.68373567,-0.64593,-0.11838024,-0.18341829,-0.5944814
-1.1408733,-1.05419,-0.31132707,-0.5479782,-0.9297114
-1.077369,-1.06967,0.009447535,0.060364775,-1.0637574
-0.3781225,-0.40333998,0.1385506,0.32171932,-0.44703716
-0.47362214,-0.44028,-0.10292425,-0.15510146,-0.39523643
-0.87679774,-0.80136,-0.27094635,-0.46942142,-0.6936198
-0.92764825,-0.84273,-0.30940232,-0.54086006,-0.7208046
-0.69819176,-0.62077,-0.2831748,-0.49152127,-0.5098455
-0.5490739,-0.48646998,-0.22424057,-0.38251555,-0.39756185
-0.7580664,-0.67492,-0.30583417,-0.5334357,-0.5554892
-0.60717666,-0.55602,-0.17523931,-0.29047632,-0.4843891
-0.7033986,-0.71963,0.10009033,0.2441015,-0.7497499
-1.422502,-1.29643,-0.4681535,-0.8414959,-1.1128856
-0.55460787,-0.55648,0.042700324,0.12764108,-0.5647303
-1.506426,-1.38393,-0.45020357,-0.81218594,-1.2057185
-1.0658494,-1.09289,0.14374703,0.3330792,-1.1394676
-0.80737793,-0.7736,-0.09975217,-0.14856221,-0.7283255
-0.4466351,-0.39019,-0.20041235,-0.3389194,-0.31039703
-0.43674394,-0.39518997,-0.13792081,-0.2215917,-0.3377414
-0.52544945,-0.49626002,-0.08493675,-0.12047459,-0.45756298
-0.46644542,-0.45039,-0.030960795,-0.017647587,-0.43139568
-0.49713832,-0.49961,0.04513057,0.13188216,-0.5087011
-2.5681229,-2.49345,-0.22129427,-0.42723715,-2.3872783
-0.4700271,-0.49405,0.13179387,0.3084748,-0.53593266
-1.1485778,-1.15753,0.0754142,0.19169906,-1.1767616
-0.80463725,-0.83648,0.16060947,0.36976385,-0.89032996
-0.6259012,-0.64597,0.11509765,0.27474815,-0.6818936
-0.50891685,-0.47834,-0.09090769,-0.13196631,-0.43753052
-1.9517038,-1.94633,0.032508034,0.09301073,-1.9441624
-1.1192718,-1.16653,0.21937205,0.49402392,-1.243787
-1.3544704,-1.36493,0.083769165,0.20649329,-1.3864809
-0.8584672,-0.85232,0.012754728,0.0686954,-0.84867287
-0.44516927,-0.38777,-0.20444186,-0.346506,-0.30655062
-0.47248244,-0.4786,0.060029645,0.1613537,-0.49321166
-1.4778723,-1.3579,-0.44055176,-0.793606,-1.1834975
-0.7564563,-0.73712003,-0.04158947,-0.036887087,-0.71352416
-0.48531315,-0.44161,-0.14617723,-0.23663889,-0.38099605
-2.2020516,-2.09969,-0.3424701,-0.6446507,-1.9516681
-0.652276,-0.60479003,-0.15909804,-0.26012108,-0.53874826
-0.8042843,-0.71814,-0.31735024,-0.5547564,-0.59427804
-0.75073946,-0.74947,0.031129722,0.10534421,-0.75312686
-0.6062476,-0.54044,-0.2365064,-0.40502185,-0.44681075
-0.96991676,-1.00253,0.16415896,0.37655818,-1.0575517
-0.4151364,-0.38025996,-0.11009459,-0.16935864,-0.3328359
-0.40661663,-0.42623,0.11530904,0.27323413,-0.46133643
-1.6125745,-1.51545,-0.34067932,-0.6165295,-1.3752766
-0.6239601,-0.67271,0.22515373,0.51022106,-0.7525256
-0.5841101,-0.53558004,-0.16468191,-0.27076066,-0.46786487
-1.4527475,-1.34216,-0.40200987,-0.72271645,-1.1818328
-0.47879612,-0.41788,-0.21854937,-0.37258404,-0.33141518
-0.95319927,-0.8625,-0.33295906,-0.5844595,-0.731944
-1.2826774,-1.34341,0.26917124,0.6027514,-1.4413387
-0.6632764,-0.59097004,-0.2625138,-0.45321903,-0.48767507
-0.39660132,-0.38432997,-0.015432949,0.011264986,-0.3709432
-0.96388394,-0.90059,-0.21838778,-0.37309596,-0.8111022
-1.0720693,-1.03531,-0.10704792,-0.16541953,-0.9856935
-0.4139402,-0.38636002,-0.079436764,-0.11125529,-0.34990543
-0.5347531,-0.53946,0.054121036,0.15024868,-0.5519807
-0.9853374,-1.00366,0.10984225,0.2632915,-1.0370197
-2.8963106,-2.73266,-0.56180286,-1.095002,-2.492931
-0.7245557,-0.66128004,-0.22353512,-0.38062277,-0.5716051
-1.0800892,-1.10422,0.13284108,0.31023353,-1.1463966
-0.7374368,-0.67088,-0.23695585,-0.40561703,-0.576303
-0.39339626,-0.42931,0.18062432,0.4130199,-0.489549
-2.0321221,-1.94987,-0.2667154,-0.4948444,-1.832043
-0.48548225,-0.42681,-0.20898868,-0.35456643,-0.34372893
-0.6656506,-0.69286,0.142796,0.33244857,-0.7396394
-1.0944134,-1.03513,-0.19876619,-0.33874708,-0.9517068
-0.9089218,-0.83896,-0.24737546,-0.42615402,-0.7394452
-0.5179724,-0.53862005,0.1178781,0.27987027,-0.5753636
-0.98361343,-0.88828,-0.35164604,-0.61911273,-0.75078714
-0.5317405,-0.54678005,0.09554567,0.23399866,-0.5750015
-0.7550706,-0.68413,-0.25487396,-0.43894118,-0.5830064
-0.66059285,-0.69685,0.17759539,0.40619665,-0.75744694
-3.4740994,-3.21456,-0.9005667,-1.7994683,-2.8323932
-0.46803,-0.44425,-0.063026756,-0.079238124,-0.41361797
-0.75885636,-0.7517,0.007627164,0.058956884,-0.74646467
-1.3619375,-1.2547001,-0.39090163,-0.6994017,-1.0994109
-0.5145166,-0.4754,-0.12650959,-0.19933182,-0.4217262
-1.8078935,-1.76973,-0.09689872,-0.16190147,-1.7181296
-0.4845468,-0.43891,-0.15429045,-0.25190696,-0.3753965
-2.1261728,-1.9613099,-0.60212946,-1.1198528,-1.7192893
-0.41467154,-0.40275,-0.013938691,0.014501861,-0.38993797
-1.283137,-1.18203,-0.36762816,-0.65460217,-1.0359379
-1.9761176,-1.84629,-0.46318275,-0.857653,-1.6569396
-0.94872516,-0.89263,-0.18892461,-0.3179796,-0.8139212
-0.42017856,-0.39892998,-0.052857026,-0.060429342,-0.37202188
-0.69096404,-0.64214003,-0.1639648,-0.26927388,-0.5741336
-1.7070904,-1.67997,-0.0557026,-0.07880238,-1.6449611
-0.6431268,-0.57193,-0.25831744,-0.44549903,-0.47025362
-1.2642529,-1.15596,-0.39834735,-0.71000355,-0.9991045
-1.1034838,-1.05598,-0.15017098,-0.24771121,-0.9902437
-0.8750783,-0.7899,-0.31173855,-0.54469603,-0.6675394
-1.26967,-1.29419,0.13607813,0.31544378,-1.3369766
-0.91617584,-0.8499,-0.23185343,-0.39746842,-0.75592184
-0.4685695,-0.4272,-0.1366504,-0.21885957,-0.3700704
-0.48756635,-0.49309,0.05752519,0.15653262,-0.50679827
-0.4670226,-0.49227,0.13668156,0.3187247,-0.53602403
-0.6214494,-0.56893003,-0.1806371,-0.3005484,-0.49528968
-0.39941424,-0.37265,-0.0761308,-0.10518689,-0.33740845
-0.64977664,-0.623,-0.07340093,-0.09791217,-0.5880977
-0.7869907,-0.71621,-0.25353038,-0.43656036,-0.6153548
-0.7244772,-0.68718,-0.1156058,-0.17825025,-0.6365428
-0.46320155,-0.46433,0.03975152,0.12071551,-0.47134122
-0.998677,-0.91762,-0.29150498,-0.50885165,-0.80153316
-1.2575381,-1.14156,-0.4308779,-0.76889205,-0.97319067
-1.2043407,-1.14672,-0.18931644,-0.323341,-1.0658098
-2.969704,-2.7224002,-0.8856036,-1.7205958,-2.357184
-0.41465074,-0.4404,0.13969591,0.32458612,-0.48491716
-0.41724697,-0.45413,0.18365465,0.41964662,-0.5158546
-0.501726,-0.50699,0.056449,0.15455186,-0.5203337
-0.48951712,-0.43390998,-0.19604662,-0.33024934,-0.35543385
-1.4310647,-1.46784,0.183178,0.41360015,-1.5291926
-1.4885088,-1.4634,-0.052149717,-0.06718847,-1.4313797
-0.8682159,-0.84109,-0.07160889,-0.09526533,-0.80584925
-0.9762949,-1.04241,0.28752127,0.6469052,-1.14875
-1.4541069,-1.42864,-0.054251075,-0.07060536,-1.3960671
-0.46480593,-0.41599002,-0.16797304,-0.2778095,-0.34768078
-0.7236461,-0.67194,-0.17533933,-0.29066497,-0.59963787
-0.44378582,-0.42466,-0.043832928,-0.04275856,-0.4010031
-0.37596178,-0.37561002,0.034210924,0.10806707,-0.380244
-0.78024215,-0.77181,0.0027484267,0.049332567,-0.7646766
-0.46508604,-0.47621998,0.080327,0.20222774,-0.49842852
-0.5608697,-0.55664,0.018003669,0.078809835,-0.55565715
-1.7117637,-1.63884,-0.23836797,-0.4298396,-1.5349936
-0.41834638,-0.43025,0.083955236,0.20886883,-0.45358598
-2.417751,-2.45781,0.20465474,0.45222354,-2.5245652
-0.48196343,-0.50737,0.13711575,0.3197632,-0.5513899
-1.78484,-1.6851599,-0.34559146,-0.63245416,-1.5411146
-0.49502465,-0.49865,0.049823213,0.14121655,-0.5094936
-1.4152412,-1.42633,0.08693605,0.21225303,-1.4488305
-2.7962065,-2.60426,-0.6789818,-1.3099499,-2.3218937
-0.46909726,-0.447,-0.056011252,-0.06579591,-0.41890672
-0.6758323,-0.69449,0.10951664,0.2633896,-0.72826517
-0.75330466,-0.68141997,-0.25887474,-0.44636178,-0.5788678
