0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.32982168,0.645787,1.2072506,-1.4451469,1.5790437,0.32982168,0.645787,1.2072506,-1.4451469,1.5790437,0.32982168,0.645787,1.2072506,-1.4451469,1.5790437,0.32982168,0.645787,1.2072506,-1.4451469,1.5790437
1.4047519,1.7043173,1.4252886,1.4372853,-0.46915412,1.4047519,1.7043173,1.4252886,1.4372853,-0.46915412,1.4047519,1.7043173,1.4252886,1.4372853,-0.46915412,1.4047519,1.7043173,1.4252886,1.4372853,-0.46915412
0.25019723,0.85353595,0.8306394,0.9733322,0.26530066,0.25019723,0.85353595,0.8306394,0.9733322,0.26530066,0.25019723,0.85353595,0.8306394,0.9733322,0.26530066,0.25019723,0.85353595,0.8306394,0.9733322,0.26530066
-0.72520244,0.48750213,-0.70553756,0.14413935,-0.7691427,-0.72520244,0.48750213,-0.70553756,0.14413935,-0.7691427,-0.72520244,0.48750213,-0.70553756,0.14413935,-0.7691427,-0.72520244,0.48750213,-0.70553756,0.14413935,-0.7691427
0.8871929,-0.9667405,-0.110888414,1.2596011,1.6411103,0.8871929,-0.9667405,-0.110888414,1.2596011,1.6411103,0.8871929,-0.9667405,-0.110888414,1.2596011,1.6411103,0.8871929,-0.9667405,-0.110888414,1.2596011,1.6411103
0.9369582,1.1107489,-1.3299192,-1.5241177,-0.23123215,0.9369582,1.1107489,-1.3299192,-1.5241177,-0.23123215,0.9369582,1.1107489,-1.3299192,-1.5241177,-0.23123215,0.9369582,1.1107489,-1.3299192,-1.5241177,-0.23123215
0.22033805,-1.5800945,-0.3091048,-0.9614511,0.9273444,0.22033805,-1.5800945,-0.3091048,-0.9614511,0.9273444,0.22033805,-1.5800945,-0.3091048,-0.9614511,0.9273444,0.22033805,-1.5800945,-0.3091048,-0.9614511,0.9273444
1.0165826,0.9128928,1.0090342,-0.22110036,1.4031883,1.0165826,0.9128928,1.0090342,-0.22110036,1.4031883,1.0165826,0.9128928,1.0090342,-0.22110036,1.4031883,1.0165826,0.9128928,1.0090342,-0.22110036,1.4031883
0.5089767,-0.6501707,-1.121792,1.457028,1.1238886,0.5089767,-0.6501707,-1.121792,1.457028,1.1238886,0.5089767,-0.6501707,-1.121792,1.457028,1.1238886,0.5089767,-0.6501707,-1.121792,1.457028,1.1238886
0.4691645,0.98214245,1.0982316,-1.563603,-1.1311978,0.4691645,0.98214245,1.0982316,-1.563603,-1.1311978,0.4691645,0.98214245,1.0982316,-1.563603,-1.1311978,0.4691645,0.98214245,1.0982316,-1.563603,-1.1311978
-1.4517757,-1.1843822,1.6036834,0.015811883,-0.9449981,-1.4517757,-1.1843822,1.6036834,0.015811883,-0.9449981,-1.4517757,-1.1843822,1.6036834,0.015811883,-0.9449981,-1.4517757,-1.1843822,1.6036834,0.015811883,-0.9449981
0.090948306,0.05221862,-1.0623271,-1.2378488,-0.5001874,0.090948306,0.05221862,-1.0623271,-1.2378488,-0.5001874,0.090948306,0.05221862,-1.0623271,-1.2378488,-0.5001874,0.090948306,0.05221862,-1.0623271,-1.2378488,-0.5001874
