number,value,datetime_start,datetime_complete,duration,params_d_model,params_lr,params_nhead,params_num_layers,params_weight_decay,state
14,0.010220771128147402,2025-08-01 11:36:14.825031,2025-08-01 11:36:17.549519,0 days 00:00:02.724488,256,9.340805257870243e-05,1,3,1.886966519919088e-05,COMPLETE
15,0.051186862456447935,2025-08-01 11:36:17.549519,2025-08-01 11:36:21.098999,0 days 00:00:03.549480,256,0.0005413998688800302,4,4,4.576102789112606e-08,COMPLETE
16,0.013863458777503931,2025-08-01 11:36:21.100002,2025-08-01 11:36:23.958072,0 days 00:00:02.858070,256,4.1056788406282975e-05,1,3,5.887947332606006e-07,COMPLETE
17,0.059124098460683054,2025-08-01 11:36:23.958072,2025-08-01 11:36:26.964883,0 days 00:00:03.006811,64,0.00016127845128603222,1,4,1.4662580598622557e-06,COMPLETE
18,0.02834727012497537,2025-08-01 11:36:26.965883,2025-08-01 11:36:29.970462,0 days 00:00:03.004579,256,0.0005239860421739377,4,3,1.960676365973182e-05,COMPLETE
19,0.007534692353253965,2025-08-01 11:36:29.970462,2025-08-01 11:36:32.008035,0 days 00:00:02.037573,256,5.6897783391184836e-05,2,2,1.6659664358891463e-07,COMPLETE
20,0.1530528962612152,2025-08-01 11:36:32.009037,2025-08-01 11:36:33.778933,0 days 00:00:01.769896,64,3.1635358593506036e-05,2,2,2.081458681362241e-07,COMPLETE
21,0.004939579199451734,2025-08-01 11:36:33.780148,2025-08-01 11:36:35.972496,0 days 00:00:02.192348,256,7.146176661240111e-05,2,2,2.861021825852304e-08,COMPLETE
22,0.007389234043383861,2025-08-01 11:36:35.973496,2025-08-01 11:36:38.238462,0 days 00:00:02.264966,256,5.766719438130967e-05,2,2,3.648032866874715e-08,COMPLETE
23,0.004778154303922373,2025-08-01 11:36:38.239472,2025-08-01 11:36:39.720080,0 days 00:00:01.480608,256,0.00010764418480380445,2,1,2.9078761232667548e-08,COMPLETE
24,0.008140493906787871,2025-08-01 11:36:39.720080,2025-08-01 11:36:41.073246,0 days 00:00:01.353166,256,9.324441397522223e-05,2,1,3.0419750669091426e-08,COMPLETE
25,0.006253532072364846,2025-08-01 11:36:41.073246,2025-08-01 11:36:42.413668,0 days 00:00:01.340422,256,0.0001467374976720851,2,1,1.0243290699927698e-06,COMPLETE
26,0.06731770888847463,2025-08-01 11:36:42.414671,2025-08-01 11:36:43.842450,0 days 00:00:01.427779,256,2.766040030049895e-05,2,1,2.650633173622812e-08,COMPLETE
27,0.004928454332163229,2025-08-01 11:36:43.843454,2025-08-01 11:36:45.267904,0 days 00:00:01.424450,256,0.00012338270419366416,2,1,7.788879577020337e-08,COMPLETE
28,0.016113814897835255,2025-08-01 11:36:45.267904,2025-08-01 11:36:46.567071,0 days 00:00:01.299167,256,0.00011019482174720686,2,1,8.259082323439382e-08,COMPLETE
29,0.03138301866676878,2025-08-01 11:36:46.567071,2025-08-01 11:36:47.827429,0 days 00:00:01.260358,64,0.0002119068434169853,2,1,2.3744915724603338e-07,COMPLETE
30,0.052079713122700065,2025-08-01 11:36:47.827429,2025-08-01 11:36:49.149151,0 days 00:00:01.321722,128,7.565329849643791e-05,2,1,2.0682170736259822e-08,COMPLETE
31,0.0032716332506799303,2025-08-01 11:36:49.149151,2025-08-01 11:36:51.114260,0 days 00:00:01.965109,256,0.0001180926483712273,2,2,5.239991835490605e-08,COMPLETE
32,0.019354536198079586,2025-08-01 11:36:51.114260,2025-08-01 11:36:53.039777,0 days 00:00:01.925517,256,0.00010296041205703483,2,2,6.61027699453293e-08,COMPLETE
33,0.035047111512326146,2025-08-01 11:36:53.040774,2025-08-01 11:36:54.971867,0 days 00:00:01.931093,256,0.00011783516732891216,2,2,4.665270080028778e-08,COMPLETE
34,0.02890530101585147,2025-08-01 11:36:54.971867,2025-08-01 11:36:56.324172,0 days 00:00:01.352305,256,4.55095615810098e-05,2,1,1.210583581626984e-07,COMPLETE
35,0.008733503376681577,2025-08-01 11:36:56.324172,2025-08-01 11:36:58.134091,0 days 00:00:01.809919,128,0.00020112497870583516,2,2,1.8391059592644156e-08,COMPLETE
36,0.01012334434370346,2025-08-01 11:36:58.134091,2025-08-01 11:36:59.440456,0 days 00:00:01.306365,256,7.829121239837482e-05,2,1,1.0125764461578576e-08,COMPLETE
37,0.041585296426680594,2025-08-01 11:36:59.440456,2025-08-01 11:37:01.393581,0 days 00:00:01.953125,256,2.4015830886103724e-05,2,2,6.81362287849631e-08,COMPLETE
38,0.016168887740658486,2025-08-01 11:37:01.393581,2025-08-01 11:37:02.772132,0 days 00:00:01.378551,256,5.779143530211383e-05,2,1,4.57939666373e-08,COMPLETE
39,0.014752069762086166,2025-08-01 11:37:02.772132,2025-08-01 11:37:04.651163,0 days 00:00:01.879031,128,0.00035268743655033453,2,2,4.1279791872593636e-07,COMPLETE
40,0.012053658774889568,2025-08-01 11:37:04.651163,2025-08-01 11:37:06.587596,0 days 00:00:01.936433,256,0.00012247344511432176,2,2,1.4353131085573905e-07,COMPLETE
41,0.005610149038736434,2025-08-01 11:37:06.587596,2025-08-01 11:37:09.044690,0 days 00:00:02.457094,256,0.00017325561593945453,1,3,3.93270451236361e-06,COMPLETE
42,0.00780819558798719,2025-08-01 11:37:09.044690,2025-08-01 11:37:10.382719,0 days 00:00:01.338029,256,0.0001332536614595876,1,1,1.9197759395250154e-08,COMPLETE
43,0.010767134783022544,2025-08-01 11:37:10.382719,2025-08-01 11:37:12.956862,0 days 00:00:02.574143,256,7.996366220101818e-05,2,3,7.720765509778465e-06,COMPLETE
44,0.009183702610350926,2025-08-01 11:37:12.956862,2025-08-01 11:37:14.793612,0 days 00:00:01.836750,256,0.00018299272451642994,1,2,4.4571746495891595e-05,COMPLETE
45,0.013728386845768374,2025-08-01 11:37:14.794612,2025-08-01 11:37:17.362745,0 days 00:00:02.568133,256,0.00027625182802516957,2,3,2.6075085689008288e-08,COMPLETE
46,0.05579991633182063,2025-08-01 11:37:17.363745,2025-08-01 11:37:19.227482,0 days 00:00:01.863737,128,0.0002441862425358821,4,2,1.8828633912796533e-06,COMPLETE
47,0.03002302414354156,2025-08-01 11:37:19.227482,2025-08-01 11:37:20.478983,0 days 00:00:01.251501,256,4.928834757179065e-05,1,1,2.908790396676438e-07,COMPLETE
48,0.0728453234084608,2025-08-01 11:37:20.478983,2025-08-01 11:37:22.824721,0 days 00:00:02.345738,64,9.177340768970277e-05,2,3,5.555948754666475e-07,COMPLETE
49,0.007320663432919365,2025-08-01 11:37:22.825732,2025-08-01 11:37:24.685219,0 days 00:00:01.859487,256,6.628380053361236e-05,1,2,1.4129513704936983e-08,COMPLETE
