number,value,datetime_start,datetime_complete,duration,params_d_model,params_lr,params_nhead,params_num_layers,params_weight_decay,state
0,0.17535623645081239,2025-08-01 11:35:39.754299,2025-08-01 11:35:41.158018,0 days 00:00:01.403719,128,1.538262775784805e-05,4,1,4.381768388968129e-07,COMPLETE
1,0.01773409222197883,2025-08-01 11:35:41.158018,2025-08-01 11:35:43.170367,0 days 00:00:02.012349,128,0.0003924883435232937,2,2,3.4055338992456384e-06,COMPLETE
2,0.08391603261834997,2025-08-01 11:35:43.170367,2025-08-01 11:35:44.968121,0 days 00:00:01.797754,128,4.1464812064245277e-05,2,2,7.528165753424181e-08,COMPLETE
3,0.009440827539519352,2025-08-01 11:35:44.978332,2025-08-01 11:35:48.903652,0 days 00:00:03.925320,256,0.0005546732532124776,4,4,1.3743392743636838e-08,COMPLETE
4,0.08880530444302541,2025-08-01 11:35:48.903652,2025-08-01 11:35:50.245369,0 days 00:00:01.341717,256,1.6150358022930983e-05,4,1,2.546560665472386e-06,COMPLETE
5,0.04065386950969696,2025-08-01 11:35:50.246371,2025-08-01 11:35:52.130224,0 days 00:00:01.883853,256,0.0008367416801770203,4,2,1.2171622223016498e-05,COMPLETE
6,0.02352856081800864,2025-08-01 11:35:52.130224,2025-08-01 11:35:55.172230,0 days 00:00:03.042006,128,6.865884115352524e-05,2,4,6.272318864293265e-06,COMPLETE
7,0.009446749806075412,2025-08-01 11:35:55.172230,2025-08-01 11:35:57.974828,0 days 00:00:02.802598,256,0.0003291027286397871,1,3,6.792246813563698e-05,COMPLETE
8,0.1405082772321561,2025-08-01 11:35:57.975889,2025-08-01 11:36:01.057910,0 days 00:00:03.082021,128,1.5186545827451911e-05,1,4,8.179220102252021e-05,COMPLETE
9,0.03913338372812552,2025-08-01 11:36:01.058910,2025-08-01 11:36:03.964778,0 days 00:00:02.905868,256,0.00027469588355136194,4,3,1.5128063728464437e-08,COMPLETE
10,0.06443921586169916,2025-08-01 11:36:03.964778,2025-08-01 11:36:06.734417,0 days 00:00:02.769639,64,0.0009715799241072114,4,4,1.0266941942281257e-08,COMPLETE
11,0.021439753418021342,2025-08-01 11:36:06.734417,2025-08-01 11:36:09.425675,0 days 00:00:02.691258,256,0.00022163441467527493,1,3,3.711001655035023e-07,COMPLETE
12,0.005250487236908692,2025-08-01 11:36:09.426679,2025-08-01 11:36:12.112728,0 days 00:00:02.686049,256,0.0001481019770087902,1,3,6.65004543244698e-05,COMPLETE
13,0.041721467771019566,2025-08-01 11:36:12.112728,2025-08-01 11:36:14.825031,0 days 00:00:02.712303,64,0.00014771168692065943,1,4,1.0347394517712265e-07,COMPLETE
